样点编号	省	市	县	乡	监测点经度（度）	监测点纬度（度）	采样时间	土地利用类型（耕地、林地、草地）	pH	有机质含量(g/kg)	阳离子交换量（cmol/kg）	铅	镉	铬	镍	铜	锌	汞	砷
2017870577433217	山东省	泰安市	岱岳区	良庄镇	117.29523 	35.93698 	2017.8.15	耕地	8.00 	22.90 	11.9	18.0 	0.066 	55 	20.6 	21.2 	53.8 	0.029 	12.74 
2017162147901477	山东省	泰安市	岱岳区	夏庄镇	116.94999 	36.15173 	2017.8.9	林地	5.66 	13.70 	58.3	20.3 	0.047 	62 	23.8 	18.9 	74.1 	0.020 	7.84 
2017195618609491	山东省	泰安市	岱岳区	道朗镇	116.95042 	36.22429 	2017.8.9	林地	5.37 	13.20 	9.5	17.8 	0.053 	103 	36.4 	55.8 	93.7 	0.047 	8.11 
2017072684971854	山东省	泰安市	岱岳区	范镇崔家灌庄	117.38301 	36.22532 	2017.8.9	耕地	6.64 	25.45	20.4	25.5 	0.056 	69 	24.8 	24.2 	68.2 	0.033 	10.02 
2017132149413071	山东省	泰安市	岱岳区	寨里镇	117.38132 	36.29693 	2017.8.23	耕地	7.60 	19.23	9.0 	29.5 	0.062 	74 	24.8 	23.9 	87.7 	0.023 	14.35 
2017304185806609	山东省	泰安市	宁阳县	东疏镇前张庄村	116.69105 	35.72117 	2017.8.22	耕地	5.35 	13.25	12.9 	17.6 	0.029 	65 	21.3 	22.1 	58.8 	0.022 	14.15 
2017849164098517	山东省	泰安市	宁阳县	东疏镇小伯村	116.69106 	35.79332 	2017.8.22	耕地	6.25 	18.28	16.5 	17.3 	0.044 	58 	19.2 	19.0 	53.3 	0.038 	14.14 
2017747502808147	山东省	泰安市	宁阳县	华丰镇西范家庄村	117.12403 	35.79302 	2017.8.21	耕地	4.99 	7.48	11.8 	11.9 	0.041 	43 	16.3 	21.3 	64.7 	0.016 	13.40 
2017041485147907  	山东省	泰安市	宁阳县	蒋集镇黑石湾村	116.94986 	35.86514 	2017.8.22	耕地	4.44 	12.93	10.1 	13.7 	0.044 	86 	23.7 	32.8 	69.5 	0.019 	12.41 
2017876721175423	山东省	泰安市	宁阳县	伏山镇耿家平村	116.77754 	35.86496 	2017.8.22	耕地	7.54 	11.57	10.7 	13.2 	0.039 	57 	17.7 	17.6 	46.9 	0.026 	13.00 
2017098536908437	山东省	泰安市	宁阳县	华丰镇张家村	117.12272 	35.86493 	2017.8.21	耕地	5.72 	16.17	19.1 	24.3 	0.053 	74 	25.6 	23.8 	60.8 	0.028 	18.15 
2017946597401300	山东省	泰安市	宁阳县	华丰镇南高村	117.12246 	35.93721 	2017.8.21	耕地	5.25 	31.27	10.2 	16.8 	0.090 	64 	19.0 	22.7 	60.7 	0.056 	12.04 
2017837879193568	山东省	泰安市	东平县	新湖镇霍庄	116.26067 	35.86426 	2017.8.8	耕地	8.38 	14.68	11.1	21.0 	0.050 	72 	24.4 	23.6 	66.1 	0.055 	14.71 
2017025674164306	山东省	泰安市	东平县	彭集街道大孟村	116.43231 	35.86519 	2017.8.8	耕地	7.35 	13.3	8.9	14.8 	0.119 	65 	20.0 	19.0 	54.8 	0.035 	17.34 
2017339126743330	山东省	泰安市	东平县	商老庄乡赵庄	116.08703 	35.93731 	2017.8.8	耕地	8.33 	23.9	18.3	27.6 	0.125 	81 	31.9 	27.3 	88.1 	0.035 	15.66 
2017500068374013	山东省	泰安市	东平县	梯门镇冯庄	116.34616 	36.00932 	2017.8.10	耕地	8.27 	23.9	15.1	18.5 	0.055 	60 	21.0 	20.4 	59.1 	0.033 	13.38 
2017349714150889	山东省	泰安市	东平县	接山镇下隧城	116.51715 	36.00965 	2017.8.10	耕地	8.25 	9.4	18.7	20.6 	0.067 	65 	24.4 	21.9 	61.3 	0.067 	14.22 
2017008975877959	山东省	泰安市	新泰市	石莱镇下马家峪村	117.46762 	35.79311 	2017.8.24	耕地	5.64 	7.81	8.8 	12.5 	0.043 	68 	25.7 	45.0 	106.8 	0.014 	12.22 
2017600009112297	山东省	泰安市	新泰市	石莱镇苏家峪村	117.55377 	35.79341 	2017.8.24	耕地	5.65 	6.66	6.6 	8.5 	0.025 	81 	48.2 	24.8 	73.2 	0.014 	9.37 
2017343892753040	山东省	泰安市	新泰市	东都镇羊蹄庄村	117.72637 	35.79336 	2017.8.23	耕地	8.00 	15.37	13.9 	22.6 	0.067 	90 	32.0 	27.0 	90.1 	0.020 	19.19 
2017409551198806	山东省	泰安市	新泰市	德镇后泗沟涧村	117.38126 	35.86520 	2017.8.24	耕地	6.04 	19.06	13.5 	18.8 	0.061 	39 	13.9 	27.0 	123.4 	0.017 	10.53 
2017620595383125	山东省	泰安市	新泰市	龙廷镇南岭村	117.89916 	35.93733 	2017.8.16	耕地	7.12 	19.14	15.2 	29.0 	0.073 	77 	26.3 	29.6 	86.6 	0.021 	17.22 
2017622529192038	山东省	泰安市	新泰市	宫里镇王灵村	117.46755 	35.93746 	2017.8.15	耕地	4.54 	28.87 	9.0 	13.0 	0.056 	60 	17.8 	18.4 	54.9 	0.031 	13.64 
2017066605468291	山东省	泰安市	新泰市	翟镇大港村	117.64015 	35.93705 	2017.8.15	耕地	7.10 	25.44 	23.9 	22.4 	0.075 	80 	25.5 	23.7 	66.1 	0.036 	17.51 
2017560138209963	山东省	泰安市	新泰市	新甫街道西西周村	117.72652 	35.93727 	2017.8.16	耕地	6.49 	26.16 	16.9 	18.0 	0.078 	38 	12.6 	16.7 	73.3 	0.032 	14.86 
2017932861261051	山东省	泰安市	新泰市	羊流镇泉河村	117.46768 	36.00896 	2017.8.15	耕地	4.40 	13.60 	4.1	10.4 	0.035 	40 	17.5 	16.2 	48.5 	0.019 	8.26 
2017826768961482	山东省	泰安市	新泰市	泉沟镇曹家坪村	117.72641 	36.00908 	2017.8.16	耕地	6.13 	16.40 	11.6	17.6 	0.071 	59 	19.7 	20.3 	56.9 	0.018 	14.15 
2017701168590215	山东省	泰安市	肥城市	孙伯镇东程村	116.69109 	35.93718 	2017.8.10	耕地	6.79 	25.70 	14.5	22.7 	0.066 	74 	26.0 	24.4 	73.7 	0.038 	16.01 
2017238814943761	山东省	泰安市	肥城市	潮泉镇黑山	116.86392 	36.22487 	2017.8.14	耕地	5.62 	13.60 	6.3	14.7 	0.051 	59 	20.0 	22.7 	69.4 	0.018 	11.56 
2017839878850691	山东省	泰安市	肥城市	老城镇王峪村	116.86394 	36.29691 	2017.8.14	耕地	5.02 	25.46 	9.8 	25.5 	0.042 	44 	13.6 	15.7 	44.0 	0.026 	15.18 
2017265772138825	山东省	泰安市	宁阳县	东疏镇岔河岭村	116.73457 	35.76819 	2017.8.22	耕地	7.24 	19.12 	13.5 	16.6 	0.043 	48 	14.9 	16.0 	50.0 	0.027 	13.86 
2017532439699786	山东省	泰安市	宁阳县	磁窑镇彩山庄村	116.86394 	35.88671 	2017.8.21	耕地	4.56 	17.25 	6.8 	16.2 	0.042 	62 	19.6 	20.5 	57.4 	0.029 	9.51 
2017551424731460	山东省	泰安市	新泰市	龙廷镇苗东村	117.90029 	35.93315 	2017.8.16	耕地	5.06 	27.65 	16.5 	18.5 	0.060 	147 	23.2 	36.7 	101.2 	0.028 	16.46 
2017721296385668	山东省	泰安市	新泰市	羊流镇香水河村	117.52193 	36.05954 	2017.8.15	林地	4.16 	16.40 	19.0 	14.4 	0.037 	65 	19.6 	19.1 	47.4 	0.020 	14.39 
2017350241891013	山东省	泰安市	肥城市	胡屯镇东穆河社区	116.63971 	36.25517 	2017.8.14	耕地	6.63 	27.83 	17.8 	22.9 	0.046 	64 	22.3 	24.7 	77.6 	0.027 	12.25 
